Contract,Open,Bid,Ask,Last,Traded,High,Low,Volume,Prev.,Day,Settlement,Price,Net,Change,Prev.,Day,Open,Interest
C,Jun-15,-,12200,-,-,-,-,-,-,0,307,N/A,76

C,Jun-15,-,12400,-,-,-,-,-,-,0,265,N/A,50

C,Jun-15,-,12600,-,-,-,-,-,-,0,228,N/A,4,203

C,Jun-15,-,12800,-,-,-,-,-,-,0,195,N/A,10

C,Jun-15,-,13000,-,-,-,-,-,-,0,166,N/A,0

C,Jun-15,-,13200,-,-,-,-,-,-,0,141,N/A,2

C,Jun-15,-,13400,-,-,-,-,-,-,0,120,N/A,0

C,Jun-15,-,13600,-,-,-,-,-,-,0,101,N/A,0

C,Jun-15,-,13800,-,-,-,-,-,-,0,85,N/A,3,925

C,Jun-15,-,14000,-,-,-,-,-,-,0,71,N/A,1

C,Jun-15,-,14400,-,-,-,-,-,-,0,49,N/A,130

C,Jun-15,-,15000,-,-,-,-,-,-,0,28,N/A,79

C,Dec-15,-,6200,-,-,-,-,-,-,0,4,541,N/A,28

C,Dec-15,-,7000,-,-,-,-,-,-,0,3,777,N/A,4

C,Dec-15,-,7200,-,-,-,-,-,-,0,3,591,N/A,2

C,Dec-15,-,7400,-,-,-,-,-,-,0,3,409,N/A,0

C,Dec-15,-,7600,-,-,-,-,-,-,0,3,229,N/A,0

C,Dec-15,-,7800,-,-,-,-,-,-,0,3,053,N/A,0

C,Dec-15,-,8000,-,-,-,-,-,-,0,2,881,N/A,1,900

C,Dec-15,-,8400,-,-,-,-,-,-,0,2,549,N/A,2,857

C,Dec-15,-,8800,-,-,-,-,-,-,0,2,237,N/A,2,475

C,Dec-15,-,9200,-,-,-,-,-,-,0,1,945,N/A,4,821

C,Dec-15,-,9600,-,-,-,-,-,-,0,1,667,N/A,3,175

C,Dec-15,-,10000,-,-,-,-,-,-,0,1,417,N/A,8,740

C,Dec-15,-,10400,-,-,-,-,-,-,0,1,195,N/A,4,315

